date,unemp_rate,unemp_initialclaim,unemp_continueclaim,unemp_perlabforce,unemp_perlabforceperunemp,unemp_duration
1996-06-01,5.3,342200.0,2.548e6,1.9058019252488836,35.95852689148837,17.6
1996-07-01,5.5,337000.0,2.49e6,1.8542789907956272,33.7141634690114,16.7
1996-08-01,5.1,331800.0,2.4944e6,1.860742685783341,36.48515070163414,17.3
1996-09-01,5.2,342750.0,2.473e6,1.8384566776939377,35.3549361094988,16.8
1996-10-01,5.2,339000.0,2.46025e6,1.8234744776572955,35.066816878024916,16.3
1996-11-01,5.4,336400.0,2.4286e6,1.7988696882383877,33.312401634044214,15.9
1996-12-01,5.4,353500.0,2.48775e6,1.841236594554188,34.0969739732257,15.6
1997-01-01,5.3,339000.0,2.48775e6,1.8365742381289867,34.652344115641256,16.0
1997-02-01,5.2,320750.0,2.415e6,1.7836041358936483,34.30007953641631,15.8
1997-03-01,5.2,319400.0,2.3476e6,1.7275610599671798,33.222328076291916,15.5
1997-04-01,5.1,327000.0,2.32425e6,1.7088063169038936,33.50600621380184,15.6
1997-05-01,4.9,323800.0,2.3028e6,1.6917550084852224,34.52561241806576,15.4
1997-06-01,5.0,325500.0,2.2955e6,1.6852530265543897,33.705060531087796,15.5
1997-07-01,4.9,320250.0,2.2695e6,1.6629175612007885,33.937093085730375,16.4
1997-08-01,4.8,330200.0,2.2724e6,1.6633240129411937,34.65258360294154,16.0
1997-09-01,4.9,315250.0,2.23475e6,1.6350832266325224,33.36904544148005,15.9
1997-10-01,4.7,310000.0,2.2155e6,1.6214970029202316,34.49993623234535,16.1
1997-11-01,4.6,314600.0,2.215e6,1.617248705835968,35.15758056165148,15.4
1997-12-01,4.7,313250.0,2.23525e6,1.6297254930553025,34.67501049053835,15.9
1998-01-01,4.6,321200.0,2.2752e6,1.6595791239651336,36.0778070427203,15.6
1998-02-01,4.6,319000.0,2.22425e6,1.62221395647354,35.26552079290305,15.4
1998-03-01,4.7,315000.0,2.22175e6,1.618926520737999,34.44524512208508,14.5
1998-04-01,4.3,311000.0,2.1825e6,1.5913233685745534,37.00752019940822,14.7
1998-05-01,4.4,311200.0,2.1346e6,1.5538828873423989,35.3155201668727,14.7
1998-06-01,4.5,338000.0,2.21425e6,1.6108908370012003,35.79757415558223,14.1
1998-07-01,4.5,333000.0,2.33375e6,1.6961871674855367,37.693048166345264,14.1
1998-08-01,4.5,312600.0,2.2376e6,1.626517409318892,36.1448313181976,13.7
1998-09-01,4.6,304000.0,2.153e6,1.5569182708300189,33.84604936586998,14.4
1998-10-01,4.5,310600.0,2.1644e6,1.5652412875418538,34.78313972315231,14.1
1998-11-01,4.4,316000.0,2.20375e6,1.5925235400813695,36.19371682003113,14.5
1998-12-01,4.4,316000.0,2.22025e6,1.601519107866757,36.398161542426294,14.0
1999-01-01,4.3,326200.0,2.2872e6,1.645432112975979,38.26586309246463,13.4
1999-02-01,4.4,301500.0,2.2405e6,1.6122532687616484,36.64211974458292,13.8
1999-03-01,4.2,302750.0,2.227e6,1.6052764362430623,38.22086752959672,13.4
1999-04-01,4.3,308500.0,2.2375e6,1.6101871775127914,37.44621343053004,13.3
1999-05-01,4.2,301600.0,2.2144e6,1.5918681302881954,37.90162214971894,13.4
1999-06-01,4.3,294000.0,2.19225e6,1.5734341020175269,36.59149074459365,14.3
1999-07-01,4.3,298000.0,2.1932e6,1.5728741600269651,36.5784688378364,13.6
1999-08-01,4.2,290750.0,2.18025e6,1.5636878720504912,37.230663620249786,13.1
1999-09-01,4.2,289500.0,2.162e6,1.5484665740356105,36.86825176275263,13.1
1999-10-01,4.1,290400.0,2.1028e6,1.5044608681343052,36.69416751547086,13.3
1999-11-01,4.1,281750.0,2.08575e6,1.4895554365291912,36.33062040315101,12.9
1999-12-01,4.0,278500.0,2.09725e6,1.4961441605969594,37.403604014923985,12.9
2000-01-01,4.0,288400.0,2.1098e6,1.4829862160585379,37.074655401463446,13.1
2000-02-01,4.1,293750.0,2.1475e6,1.5074830122985343,36.767878348744745,12.6
2000-03-01,4.0,274750.0,2.079e6,1.4596234045242007,36.49058511310502,12.7
2000-04-01,3.8,271600.0,2.0154e6,1.4118289889387816,37.153394445757414,12.4
2000-05-01,4.0,282250.0,1.9895e6,1.3972385313369104,34.93096328342276,12.6
2000-06-01,4.0,291000.0,2.02825e6,1.4224249777335176,35.56062444333794,12.3
2000-07-01,4.0,295000.0,2.0856e6,1.4658626070088139,36.646565175220346,13.4
2000-08-01,4.1,312750.0,2.11725e6,1.485643515724771,36.23520770060417,12.9
2000-09-01,3.9,300200.0,2.1196e6,1.4872507332407134,38.13463418565932,12.2
2000-10-01,3.9,301000.0,2.11625e6,1.4838173633801237,38.046599061028815,12.7
2000-11-01,3.9,334250.0,2.21125e6,1.5467396930652901,39.659992129879235,12.4
2000-12-01,3.9,346000.0,2.3064e6,1.6100748352507541,41.28397013463472,12.5
2001-01-01,4.2,340000.0,2.39575e6,1.6660292072322669,39.66736207695873,12.7
2001-02-01,4.2,371250.0,2.4865e6,1.7303289469105991,41.19830825977617,12.8
2001-03-01,4.3,387200.0,2.5854e6,1.7963647480614768,41.77592437352272,12.8
2001-04-01,4.4,396750.0,2.69725e6,1.878713371270957,42.69803116524902,12.4
2001-05-01,4.3,394500.0,2.81925e6,1.9671290417114389,45.74718701654509,12.1
2001-06-01,4.5,397200.0,2.9474e6,2.055986104619935,45.68858010266521,12.7
2001-07-01,4.6,398000.0,3.03075e6,2.10975677669957,45.86427775433848,12.9
2001-08-01,4.9,398000.0,3.12e6,2.1774936489768573,44.43864589748688,13.3
2001-09-01,5.0,435000.0,3.2622e6,2.265589732549014,45.31179465098029,13.2
2001-10-01,5.3,480750.0,3.5275e6,2.4481906639090543,46.19227667752933,13.3
2001-11-01,5.5,447500.0,3.6565e6,2.5350110926234057,46.091110774971014,14.3
2001-12-01,5.7,416800.0,3.5894e6,2.4873704999826756,43.638078947064486,14.5
2002-01-01,5.7,408500.0,3.5505e6,2.467629949333834,43.2917534970848,14.7
2002-02-01,5.7,399000.0,3.55425e6,2.4570869598280023,43.10678876891232,15.0
2002-03-01,5.7,415400.0,3.6108e6,2.4991521376513175,43.844774344759955,15.4
2002-04-01,5.9,429250.0,3.68925e6,2.5491449300397306,43.20584627185984,16.3
2002-05-01,5.8,409000.0,3.712e6,2.561095088934579,44.1568118781824,16.8
2002-06-01,5.8,387200.0,3.6352e6,2.510358543726866,43.28204385735976,16.9
2002-07-01,5.8,386000.0,3.50425e6,2.4200120163256287,41.72434510906257,16.9
2002-08-01,5.7,393600.0,3.5168e6,2.4252287789033784,42.54787331409436,16.5
2002-09-01,5.7,409500.0,3.555e6,2.442426074530065,42.84958025491342,17.6
2002-10-01,5.7,407500.0,3.55575e6,2.446942483174367,42.92881549428714,17.8
2002-11-01,5.9,392200.0,3.4824e6,2.400976275673775,40.69451314701313,17.6
2002-12-01,6.0,414250.0,3.48275e6,2.4008037720761584,40.01339620126931,18.5
2003-01-01,5.8,395000.0,3.4145e6,2.339708230263744,40.33979707351283,18.5
2003-02-01,5.9,411000.0,3.437e6,2.352498288843258,39.872852353275555,18.5
2003-03-01,5.9,427400.0,3.5408e6,2.424840092588788,41.09898462014894,18.1
2003-04-01,6.0,436250.0,3.62975e6,2.4780848478228217,41.30141413038036,19.4
2003-05-01,6.1,424000.0,3.7192e6,2.538703071672355,41.61808314216976,19.0
2003-06-01,6.3,421750.0,3.7015e6,2.5170683277118924,39.95346551923639,19.9
2003-07-01,6.2,411500.0,3.61625e6,2.468682800286719,39.81746452075353,19.7
2003-08-01,6.1,400200.0,3.5964e6,2.4558025197172997,40.2590577002836,19.2
2003-09-01,6.1,395500.0,3.57575e6,2.440285265815874,40.004676488784824,19.5
2003-10-01,6.0,382000.0,3.48625e6,2.376189372665558,39.60315621109263,19.3
2003-11-01,5.8,363000.0,3.3734e6,2.294829931972789,39.56603330987568,19.9
2003-12-01,5.7,358250.0,3.27025e6,2.2287686824008888,39.10120495440156,19.8
2004-01-01,5.7,360200.0,3.1482e6,2.143937020743384,37.61293018848042,19.9
2004-02-01,5.6,360750.0,3.11475e6,2.1230803836165473,37.912149707438346,20.1
2004-03-01,5.8,342000.0,3.04625e6,2.0730686520034842,35.74256296557732,19.8
2004-04-01,5.6,348250.0,3.00075e6,2.04341164453524,36.48949365241501,19.6
2004-05-01,5.6,336200.0,2.9756e6,2.023323020433142,36.13076822202039,19.8
2004-06-01,5.6,349000.0,2.95075e6,2.0010511325105114,35.73305593768771,20.5
2004-07-01,5.5,343000.0,2.917e6,1.9750561980337458,35.91011269152265,18.8
2004-08-01,5.4,340750.0,2.8915e6,1.9594887641972296,36.28682896661536,18.8
2004-09-01,5.4,337250.0,2.86275e6,1.9419665569989486,35.96234364812867,19.4
2004-10-01,5.5,334000.0,2.778e6,1.8796560053588465,34.17556373379721,19.5
2004-11-01,5.4,328750.0,2.7345e6,1.8456149350035773,34.1780543519181,19.7
2004-12-01,5.4,325250.0,2.719e6,1.836430071795703,34.007964292513016,19.4
2005-01-01,5.3,343400.0,2.7238e6,1.8400448560754987,34.71782747312262,19.5
