date,laborforce_total,laborforce_rate,laborforce_rate_workage,laborforce_not,pop,laborforce_jobfindrate,laborforce_jobseparaterate
2001-11-01,144240.0,66.7,83.5,71876.0,182430.809729574,0.5135153134704672,0.11315600392299396
2001-12-01,144305.0,66.7,83.7,72010.0,182640.020743122,0.48705687200362213,0.11667300979599843
2002-01-01,143883.0,66.5,83.5,72623.0,182563.002965959,0.5355908958136281,0.11777757243619463
2002-02-01,144653.0,66.8,83.7,72010.0,182794.136861143,0.5060703871032011,0.11770355458548751
2002-03-01,144481.0,66.6,83.5,72343.0,183076.139011042,0.5121249052837821,0.11814686147895863
2002-04-01,144725.0,66.7,83.6,72281.0,183255.09551548396,0.43520203314904904,0.12055435061354867
2002-05-01,144938.0,66.7,83.6,72260.0,183508.370767146,0.4892930262482772,0.1206477415134666
2002-06-01,144808.0,66.6,83.2,72600.0,183670.357789046,0.4396972135259626,0.11884126097155495
2002-07-01,144803.0,66.5,83.1,72827.0,183891.076834702,0.4768373633775849,0.11930433351063564
2002-08-01,145009.0,66.6,83.2,72856.0,184163.853687785,0.5008831602382469,0.11876917202092309
2002-09-01,145552.0,66.7,83.3,72554.0,184425.63443400402,0.46773260688741797,0.11729616380617186
2002-10-01,145314.0,66.6,83.2,73026.0,184554.935825347,0.44915829728369133,0.11689032161961223
2002-11-01,145041.0,66.4,82.9,73508.0,184744.740552455,0.45411985349480427,0.11937433783051436
2002-12-01,145066.0,66.3,83.1,73675.0,184858.173953039,0.4343646206866545,0.12157294469684896
2003-01-01,145937.0,66.4,82.9,73960.0,185632.410299682,0.47401165064327444,0.12152025045761676
2003-02-01,146100.0,66.4,83.0,74015.0,185866.832081524,0.43038573965062793,0.12057497723064435
2003-03-01,146022.0,66.3,83.1,74295.0,186082.477804354,0.45386169691886,0.12093439299284207
2003-04-01,146474.0,66.4,83.2,74066.0,186468.257671824,0.3979364632524188,0.12250035620233687
2003-05-01,146500.0,66.4,83.1,74268.0,186649.36655629,0.44428870491787475,0.12500423769500205
2003-06-01,147056.0,66.5,83.3,73958.0,186800.650688935,0.38917559609479646,0.1276911424834092
2003-07-01,146485.0,66.2,83.0,74767.0,187069.404317078,0.4314306544288228,0.12701514294789853
2003-08-01,146445.0,66.1,83.0,75062.0,187307.738321363,0.4380224643346982,0.12523851224721547
2003-09-01,146530.0,66.1,82.8,75249.0,187541.366651398,0.40278210984964574,0.12451441190754366
2003-10-01,146716.0,66.1,82.9,75324.0,187738.843236488,0.43903429520002935,0.12326870626266982
2003-11-01,147000.0,66.1,82.8,75280.0,187972.220193786,0.4345604355444573,0.12068961376717798
2003-12-01,146729.0,65.9,82.8,75780.0,188133.927255885,0.4428386477403659,0.1174151243651189
2004-01-01,146842.0,66.1,82.8,75319.0,187687.228615023,0.42885176248306534,0.11663126059489894
2004-02-01,146709.0,66.0,82.7,75648.0,187874.979207603,0.41999670548634976,0.1149205130752848
2004-03-01,146944.0,66.0,82.8,75606.0,188056.180006775,0.37906869138619737,0.11640504254160522
2004-04-01,146850.0,65.9,82.7,75907.0,188319.105036259,0.5074160619419927,0.11635475266828835
2004-05-01,147065.0,66.0,82.8,75903.0,188476.04963860597,0.4486038907979158,0.11456954147454405
2004-06-01,147460.0,66.1,82.9,75735.0,188688.80395523,0.4301274301197942,0.11508407332115525
2004-07-01,147692.0,66.1,83.0,75730.0,188841.892471987,0.49835244694208597,0.11451829898879048
2004-08-01,147564.0,66.0,82.7,76113.0,189072.110370638,0.47414197390438373,0.11200530780985085
2004-09-01,147415.0,65.8,82.7,76526.0,189218.524258014,0.49034427358755917,0.11096739866120287
2004-10-01,147793.0,65.9,82.6,76399.0,189445.840609602,0.4497385547548852,0.11154328335144609
2004-11-01,148162.0,66.0,82.7,76259.0,189653.257447606,0.4715778735488694,0.11100132507870604
2004-12-01,148059.0,65.9,82.6,76581.0,189808.849652093,0.48387651973657886,0.11022078992227084
2005-01-01,148029.0,65.8,82.7,76808.0,189990.139246991,0.4848856876898775,0.10896120642690843
2005-02-01,148364.0,65.9,82.8,76677.0,190144.010501082,0.4514512037578217,0.10964345733519298
2005-03-01,148391.0,65.9,82.6,76846.0,190463.057271323,0.46636114833419084,0.10836477235320666
2005-04-01,148926.0,66.1,82.7,76514.0,190463.65946744,0.4952226825660243,0.10682641530274002
2005-05-01,149261.0,66.1,82.9,76409.0,190709.936059732,0.5068363720962183,0.10604751677914936
2005-06-01,149238.0,66.1,82.6,76673.0,190962.059622628,0.5089757260709619,0.10457605324610075
