date,unemp_lvl,unemp_ft,unemp_pt,unemp_lvl_5,unemp_lvl_514,unemp_lvl_16,unemp_lvl_loser,unemp_lvl_leaver,unemp_lvl_retrant,unemp_lvl_newentrant,unemp_lvl_entrant,loser_wk5,leaver_wk5,retrant_wk5,newentrant_wk5,entrant_wk5,loser_wk514,leaver_wk514,retrant_wk514,newentrant_wk514,entrant_wk514,loser_wk15,leaver_wk15,retrant_wk15,newentrant_wk15,entrant_wk15,leaver_hazardinflow,loser_hazardinflow,entrant_hazardinflow
1984-10-01,8381.0,6987.0,1421.0,3423.0,2392.0,2526.0,3876.0,894.0,2230.0,989.0,3219.0,1449.624,421.074,1083.78,466.80800000000005,1550.588,1073.652,288.76199999999994,660.08,266.041,926.1210000000001,1356.6,184.16400000000002,486.14,255.162,741.302,0.01773364781152583,0.005580053399840593,0.042775009798634814
1984-11-01,8198.0,6789.0,1400.0,3392.0,2356.0,2438.0,3971.0,901.0,2100.0,896.0,2996.0,1497.067,422.569,1003.8,398.72,1402.52,1167.474,282.013,661.5,241.02399999999997,902.524,1310.43,195.517,434.7,256.25600000000003,690.956,0.018336389499273773,0.005479819102198936,0.03883402870781534
1984-12-01,8358.0,6898.0,1467.0,3371.0,2578.0,2401.0,4343.0,791.0,2024.0,820.0,2844.0,1537.4219999999998,291.87899999999996,902.7040000000001,327.18,1229.884,1424.504,302.16200000000003,631.4879999999999,287.82,919.308,1376.731,196.95899999999997,491.83200000000005,205.82,697.652,0.01814767847506957,0.003734378662516358,0.03311211250631217
1985-01-01,8423.0,6916.0,1544.0,3667.0,2536.0,2284.0,5033.0,917.0,2300.0,881.0,3181.0,1952.8039999999999,406.231,1200.6,432.57099999999997,1633.1709999999998,1600.494,297.108,598.0,225.53600000000003,823.5360000000001,1479.7019999999998,213.66100000000003,499.1,222.893,721.993,0.02310374596359207,0.004953248480585536,0.04396359321272876
1985-02-01,8321.0,6863.0,1438.0,3471.0,2452.0,2389.0,4897.0,866.0,2229.0,910.0,3139.0,1498.4820000000002,363.72,1011.9659999999999,438.62,1450.5859999999998,1718.8470000000002,299.636,662.013,281.19,943.203,1674.7740000000003,202.64399999999998,555.021,190.19,745.211,0.018061673281701558,0.004695673626804839,0.03980852962772735
1985-03-01,8339.0,6783.0,1562.0,3519.0,2443.0,2394.0,4578.0,795.0,2282.0,971.0,3253.0,1313.886,321.975,1063.412,458.31200000000007,1521.7240000000002,1506.1619999999998,290.97,625.2679999999999,271.88,897.1479999999999,1753.374,182.85,591.038,240.808,831.846,0.015857179033260456,0.004148242373841513,0.0411681722430426
1985-04-01,8395.0,6855.0,1553.0,3499.0,2495.0,2393.0,4291.0,768.0,2122.0,969.0,3091.0,1351.665,347.90399999999994,942.168,479.655,1421.8229999999999,1132.8239999999998,226.56,594.16,286.824,880.9839999999999,1806.511,193.53599999999997,585.672,202.521,788.193,0.01640012946813039,0.004497042336416709,0.03954879055377103
1985-05-01,8302.0,6720.0,1575.0,3503.0,2556.0,2292.0,3699.0,802.0,2375.0,1135.0,3510.0,1146.69,388.16799999999995,1220.75,639.005,1859.755,1017.225,220.55,598.5,299.64,898.14,1535.085,193.282,555.75,196.355,752.105,0.014189037412453455,0.004956972055607502,0.051247926002283305
1985-06-01,8460.0,6835.0,1547.0,3538.0,2517.0,2310.0,3818.0,918.0,2518.0,1500.0,4018.0,1378.2980000000002,471.852,1427.7060000000001,1005.0,2432.706,988.862,238.68,642.09,307.5,949.59,1450.84,206.55,448.204,187.5,635.704,0.016487899737375956,0.005969685195699932,0.0710619941333612
1985-07-01,8513.0,6934.0,1559.0,3555.0,2554.0,2329.0,4125.0,940.0,2186.0,1429.0,3615.0,1567.5,462.48,1053.652,734.5059999999999,1788.158,1200.375,271.66,710.45,541.591,1252.0410000000002,1361.25,204.92,419.712,152.903,572.615,0.01866588446834453,0.005983077526287167,0.052124520435100886
1985-08-01,8196.0,6752.0,1462.0,3439.0,2515.0,2258.0,3906.0,940.0,2162.0,1043.0,3205.0,1417.878,481.28,1020.464,421.37199999999996,1441.836,1210.86,288.58,728.594,476.65100000000007,1205.2450000000001,1277.2620000000002,171.08,412.94200000000006,144.977,557.9190000000001,0.017392261027858822,0.0063184351067721405,0.041259682497018356
1985-09-01,8248.0,6772.0,1496.0,3494.0,2570.0,2242.0,3695.0,936.0,2450.0,903.0,3353.0,1359.76,512.928,1337.7,472.26899999999995,1809.969,1108.5,269.568,639.45,279.027,918.4770000000001,1226.7400000000002,153.504,470.4,151.704,622.104,0.016687053492638833,0.006892944324121712,0.05180840535967921
1985-10-01,8298.0,6745.0,1560.0,3424.0,2545.0,2295.0,3651.0,999.0,2301.0,967.0,3268.0,1387.38,474.525,1168.908,396.47,1565.378,1033.233,326.673,729.4169999999999,335.54900000000004,1064.966,1230.3870000000002,197.80200000000002,402.675,234.01399999999998,636.689,0.016831327381844487,0.005922508049286156,0.044128001269173156
1985-11-01,8128.0,6695.0,1427.0,3463.0,2456.0,2207.0,3916.0,834.0,2135.0,930.0,3065.0,1507.66,409.494,997.045,473.37,1470.415,1170.884,273.55199999999996,721.63,273.42,995.05,1237.4560000000001,150.954,416.325,183.21,599.535,0.0177792659417023,0.0055639610464016526,0.04206807819839539
