realtime_start,realtime_end,date,value
2023-04-08,2023-04-08,1979-12-01,5127.259486280588
2023-04-08,2023-04-08,1980-01-01,5004.022251503782
2023-04-08,2023-04-08,1980-02-01,4892.006686725785
2023-04-08,2023-04-08,1980-03-01,4821.278988534015
2023-04-08,2023-04-08,1980-04-01,4256.547071700167
2023-04-08,2023-04-08,1980-05-01,3914.207531310209
2023-04-08,2023-04-08,1980-06-01,3967.976821605233
2023-04-08,2023-04-08,1980-07-01,3982.060575261239
2023-04-08,2023-04-08,1980-08-01,3999.8551824322617
2023-04-08,2023-04-08,1980-09-01,4177.793488068038
2023-04-08,2023-04-08,1980-10-01,4189.769272871086
2023-04-08,2023-04-08,1980-11-01,4375.109503511993
2023-04-08,2023-04-08,1980-12-01,4207.548720119116
2023-04-08,2023-04-08,1981-01-01,4114.136230037579
2023-04-08,2023-04-08,1981-02-01,4182.396928026351
2023-04-08,2023-04-08,1981-03-01,4174.344790121395
2023-04-08,2023-04-08,1981-04-01,4168.5121019673525
2023-04-08,2023-04-08,1981-05-01,4119.3002185711875
2023-04-08,2023-04-08,1981-06-01,4148.267503372533
2023-04-08,2023-04-08,1981-07-01,4114.25159326608
2023-04-08,2023-04-08,1981-08-01,4080.455133460443
2023-04-08,2023-04-08,1981-09-01,3864.0688575968907
2023-04-08,2023-04-08,1981-10-01,3648.243684759817
2023-04-08,2023-04-08,1981-11-01,3635.1425528752857
2023-04-08,2023-04-08,1981-12-01,3463.277830279343
2023-04-08,2023-04-08,1982-01-01,3448.7381695728686
2023-04-08,2023-04-08,1982-02-01,3319.0226558652644
2023-04-08,2023-04-08,1982-03-01,3220.7724864275324
2023-04-08,2023-04-08,1982-04-01,3086.087104968792
2023-04-08,2023-04-08,1982-05-01,3062.9793155130014
2023-04-08,2023-04-08,1982-06-01,2889.9069744298754
2023-04-08,2023-04-08,1982-07-01,2753.960917112726
2023-04-08,2023-04-08,1982-08-01,2676.527725902062
2023-04-08,2023-04-08,1982-09-01,2538.252586707201
2023-04-08,2023-04-08,1982-10-01,2538.7798562359644
2023-04-08,2023-04-08,1982-11-01,2545.7948334447365
2023-04-08,2023-04-08,1982-12-01,2649.2348720363093
2023-04-08,2023-04-08,1983-01-01,2680.9113471481323
2023-04-08,2023-04-08,1983-02-01,2679.4339941315006
2023-04-08,2023-04-08,1983-03-01,2760.0757276535223
2023-04-08,2023-04-08,1983-04-01,2827.5593871406436
2023-04-08,2023-04-08,1983-05-01,3072.5467061554755
2023-04-08,2023-04-08,1983-06-01,3081.8961265926214
2023-04-08,2023-04-08,1983-07-01,3264.458023952109
2023-04-08,2023-04-08,1983-08-01,3319.83093825443
2023-04-08,2023-04-08,1983-09-01,3384.0968115782825
2023-04-08,2023-04-08,1983-10-01,3703.9674954507605
2023-04-08,2023-04-08,1983-11-01,3713.9615824692028
2023-04-08,2023-04-08,1983-12-01,3862.6046314053174
2023-04-08,2023-04-08,1984-01-01,3962.271329300361
2023-04-08,2023-04-08,1984-02-01,4143.167298894951
2023-04-08,2023-04-08,1984-03-01,4146.772772369104
2023-04-08,2023-04-08,1984-04-01,4328.210986534805
2023-04-08,2023-04-08,1984-05-01,4391.3197139120375
2023-04-08,2023-04-08,1984-06-01,4481.979753366008
2023-04-08,2023-04-08,1984-07-01,4551.295914812803
2023-04-08,2023-04-08,1984-08-01,4392.594811366121
2023-04-08,2023-04-08,1984-09-01,4504.60446001885
2023-04-08,2023-04-08,1984-10-01,4532.093283537218
2023-04-08,2023-04-08,1984-11-01,4474.77305849914
2023-04-08,2023-04-08,1984-12-01,4660.349007343336
2023-04-08,2023-04-08,1985-01-01,4538.945753670505
2023-04-08,2023-04-08,1985-02-01,4566.157816150129
2023-04-08,2023-04-08,1985-03-01,4690.731712228836
2023-04-08,2023-04-08,1985-04-01,4562.921357302879
2023-04-08,2023-04-08,1985-05-01,4665.6043240852405
2023-04-08,2023-04-08,1985-06-01,4654.713028433098
2023-04-08,2023-04-08,1985-07-01,4626.44624316173
2023-04-08,2023-04-08,1985-08-01,4646.597478909502
2023-04-08,2023-04-08,1985-09-01,4735.628195031082
2023-04-08,2023-04-08,1985-10-01,4659.543868470509
2023-04-08,2023-04-08,1985-11-01,4745.025498726842
2023-04-08,2023-04-08,1985-12-01,4624.906216619066
2023-04-08,2023-04-08,1986-01-01,4616.371919196178
2023-04-08,2023-04-08,1986-02-01,4602.675852754208
2023-04-08,2023-04-08,1986-03-01,4572.643304929462
2023-04-08,2023-04-08,1986-04-01,4598.077219329815
2023-04-08,2023-04-08,1986-05-01,4519.473386211227
2023-04-08,2023-04-08,1986-06-01,4802.826403881363
2023-04-08,2023-04-08,1986-07-01,4608.102550486371
2023-04-08,2023-04-08,1986-08-01,4652.608203169946
2023-04-08,2023-04-08,1986-09-01,4706.033067334294
2023-04-08,2023-04-08,1986-10-01,4688.931749331126
2023-04-08,2023-04-08,1986-11-01,4890.994669512536
2023-04-08,2023-04-08,1986-12-01,4626.9049227178675
2023-04-08,2023-04-08,1987-01-01,4570.117883264186
2023-04-08,2023-04-08,1987-02-01,4845.044941593744
2023-04-08,2023-04-08,1987-03-01,5049.517181600203
2023-04-08,2023-04-08,1987-04-01,5008.186423590885
2023-04-08,2023-04-08,1987-05-01,5147.321980632758
2023-04-08,2023-04-08,1987-06-01,5131.709478125005
2023-04-08,2023-04-08,1987-07-01,5142.77548264973
2023-04-08,2023-04-08,1987-08-01,5383.058789465046
2023-04-08,2023-04-08,1987-09-01,5347.136241762005
2023-04-08,2023-04-08,1987-10-01,5413.883535631104
2023-04-08,2023-04-08,1987-11-01,5482.131475835963
2023-04-08,2023-04-08,1987-12-01,5245.206832739724
2023-04-08,2023-04-08,1988-01-01,5121.44750516471
2023-04-08,2023-04-08,1988-02-01,5196.561411618746
2023-04-08,2023-04-08,1988-03-01,5320.263058833289
2023-04-08,2023-04-08,1988-04-01,5290.302243321769
2023-04-08,2023-04-08,1988-05-01,5394.364949266048
2023-04-08,2023-04-08,1988-06-01,5255.073169573557
2023-04-08,2023-04-08,1988-07-01,5353.351625159844
2023-04-08,2023-04-08,1988-08-01,5373.591971583001
2023-04-08,2023-04-08,1988-09-01,5140.855719602848
2023-04-08,2023-04-08,1988-10-01,5422.342217929816
2023-04-08,2023-04-08,1988-11-01,5260.083708909902
2023-04-08,2023-04-08,1988-12-01,5372.790344317827
2023-04-08,2023-04-08,1989-01-01,5223.945040979703
2023-04-08,2023-04-08,1989-02-01,5213.149141916165
2023-04-08,2023-04-08,1989-03-01,5080.353019707851
2023-04-08,2023-04-08,1989-04-01,5345.575693350426
2023-04-08,2023-04-08,1989-05-01,5113.363752869379
2023-04-08,2023-04-08,1989-06-01,4905.701274581599
